time (s)	coil I (A)	last det (V)	int current (uC)
3634.979086	1.511305	0.845941	755.652466
3634.979969	1.887843	0.845941	2422.617676
3634.980878	1.839792	0.845941	4094.989014
3634.981972	1.772065	0.845941	6033.628418
3634.982925	1.714127	0.845941	7667.191406
3634.983787	1.663806	0.845941	9101.392578
3634.984810	1.607860	0.845941	10746.233398
3634.985854	0.682079	0.845941	11458.324219
3634.986744	0.090447	0.845941	11538.822266
3634.987691	0.090579	0.845941	11624.600586
3634.988750	0.090571	0.845941	11720.515625
3634.989681	0.090469	0.845941	11804.742187
3634.990545	0.090560	0.845941	11882.986328
3634.991612	0.090615	0.845941	11979.672852
3634.992625	0.090469	0.845941	12071.317383
3634.993509	0.090458	0.845941	12151.282227
3634.994481	0.090516	0.845941	12239.263672
3634.995532	0.090590	0.845941	12334.473633
3636.030663	1.469062	0.830678	634.634949
3636.031538	1.888004	0.830678	2286.638672
3636.032582	1.836823	0.830678	4204.281250
3636.033474	1.779847	0.830678	5791.905273
3636.034357	1.725904	0.830678	7315.878906
3636.035354	1.669457	0.830678	8980.327148
3636.036306	1.616400	0.830678	10519.139648
3636.037232	1.132928	0.830678	11568.231445
3636.038096	0.101429	0.830678	11655.866211
3636.039153	0.090443	0.830678	11751.464844
3636.040027	0.090428	0.830678	11830.499023
3636.040895	0.090421	0.830678	11908.984375
3636.041847	0.090568	0.830678	11995.205078
3636.042799	0.090494	0.830678	12081.355469
3636.043715	0.090516	0.830678	12164.268555
3636.044590	0.090524	0.830678	12243.476562
3636.045614	0.090447	0.830678	12336.093750
3636.046518	0.090454	0.830678	12417.864258
3637.071184	1.581650	0.827028	906.285645
3637.072241	1.879160	0.827028	2892.558105
3637.073124	1.826982	0.827028	4505.783691
3637.074047	1.768312	0.827028	6137.935547
3637.075118	1.704250	0.827028	7963.187500
3637.076069	1.650622	0.827028	9532.929687
3637.076935	1.603041	0.827028	10921.163086
3637.077982	0.588058	0.827028	11536.859375
3637.079008	0.090344	0.827028	11629.552734
3637.079882	0.090579	0.827028	11708.718750
3637.080842	0.090630	0.827028	11795.723633
3637.081891	0.090531	0.827028	11890.690430
3637.082829	0.090601	0.827028	11975.673828
3637.083694	0.090480	0.827028	12053.938477
3637.084736	0.090542	0.827028	12148.283203
3637.085748	0.090494	0.827028	12239.863281
3637.086639	0.090491	0.827028	12320.490234
3637.087610	0.090579	0.827028	12408.442383
3638.121047	1.576956	0.809408	917.788147
3638.122114	1.878314	0.809408	2921.949463
3638.123003	1.825415	0.809408	4544.743164
3638.123914	1.766774	0.809408	6154.273926
3638.125007	1.702507	0.809408	8015.114258
3638.125959	1.648964	0.809408	9584.927734
3638.126821	1.601448	0.809408	10965.375977
3638.127865	0.516837	0.809408	11504.954102
3638.128891	0.090319	0.809408	11597.621094
3638.129783	0.090568	0.809408	11678.407227
3638.130734	0.090601	0.809408	11764.568359
3638.131787	0.090560	0.809408	11859.928711
3638.132716	0.090487	0.809408	11943.991211
3638.133580	0.090483	0.809408	12022.168945
3638.134636	0.090535	0.809408	12117.773437
3638.135634	0.090582	0.809408	12208.174805
3638.136526	0.090469	0.809408	12288.873047
3638.137498	0.090656	0.809408	12376.990234
3639.163837	1.438660	0.850272	605.675720
3639.164884	1.884148	0.850272	2578.378662
3639.165835	1.833223	0.850272	4321.773437
3639.166707	1.776767	0.850272	5871.114746
3639.167641	1.719803	0.850272	7477.411133
3639.168707	1.659441	0.850272	9246.375000
3639.169605	1.610559	0.850272	10692.657227
3639.170483	1.026804	0.850272	11594.191406
3639.171513	0.092377	0.850272	11689.339844
3639.172472	0.090557	0.850272	11776.183594
3639.173350	0.090535	0.850272	11855.672852
3639.174236	0.090656	0.850272	11935.993164
3639.175323	0.090564	0.850272	12034.436523
3639.176210	0.090447	0.850272	12114.663086
3639.177092	0.090516	0.850272	12194.498047
3639.178164	0.090659	0.850272	12291.684570
3639.179123	0.090425	0.850272	12378.402344
3639.179986	0.090458	0.850272	12456.467773
3640.211209	1.515282	0.822939	760.671509
3640.212206	1.883811	0.822939	2638.831055
3640.213104	1.834208	0.822939	4285.949707
3640.214110	1.770894	0.822939	6067.468750
3640.215160	1.707920	0.822939	7860.784668
3640.216063	1.655695	0.822939	9355.876953
3640.216929	1.606728	0.822939	10747.303711
3640.218036	0.636222	0.822939	11451.601562
3640.218992	0.090278	0.822939	11537.907227
3640.219917	0.090403	0.822939	11621.530273
3640.220777	0.090487	0.822939	11699.349609
3640.221862	0.090498	0.822939	11797.540039
3640.222735	0.090436	0.822939	11876.490234
3640.223602	0.090505	0.822939	11954.958008
3640.224458	0.090483	0.822939	12032.412109
3640.225510	0.090465	0.822939	12127.581055
3640.226398	0.090447	0.822939	12207.897461
