crossing time (s)	slope (V/s)	crossing number
974.831564	43.446298	414
975.888094	43.796658	415
976.915353	43.670302	416
977.976622	43.597345	417
979.011388	43.888288	418
980.061569	43.871205	419
981.096547	44.003476	420
982.154350	43.287719	421
983.179634	42.837163	422
984.246511	43.680382	423
985.276997	43.434361	424
986.329310	43.978371	425
987.361152	43.811709	426
988.416825	42.970449	427
989.450010	42.411873	428
990.513455	43.073796	429
991.543227	43.129293	430
992.592288	43.397876	431
993.624820	43.346625	432
994.680501	42.390915	433
995.712920	42.216030	434
996.767878	42.350924	435
997.811833	42.532901	436
998.857054	42.307620	437
999.891732	42.422474	438
1000.946604	41.801316	439
1001.979172	42.026358	440
1003.035315	41.939008	441
1004.074459	42.761969	442
1005.123364	42.117668	443
1006.153285	42.390767	444
1007.209629	41.542475	445
1008.243435	41.822667	446
1009.301467	41.377752	447
1010.335249	41.926280	448
1011.386575	41.400191	449
1012.420786	42.009438	450
1013.471678	41.317620	451
1014.508124	41.991924	452
1015.562179	41.216287	453
1016.599758	41.637895	454
1017.651284	40.956812	455
1018.685291	41.313031	456
1019.733812	40.938184	457
1020.767401	41.423278	458
1021.826912	40.316378	459
1022.860711	41.303921	460
1023.914531	40.460755	461
1024.949659	41.318890	462
1025.996321	40.794597	463
1027.034847	41.335888	464
1028.091293	40.087632	465
1029.122627	41.118468	466
1030.182162	39.746421	467
1031.211068	40.836250	468
1032.266407	40.234983	469
1033.299626	40.818944	470
1034.349371	39.915027	471
1035.387801	40.515575	472
1036.441655	39.596940	473
1037.475683	40.588059	474
1038.538478	40.061352	475
1039.567394	41.065341	476
1040.619929	39.469341	477
1041.649932	40.062666	478
1042.710626	38.997045	479
1043.743267	39.685889	480
1044.796048	39.686259	481
1045.830805	40.096890	482
1046.892841	39.424876	483
1047.917203	40.023926	484
1048.971032	39.044645	485
1050.007248	39.657417	486
1051.058145	39.018383	487
1052.089415	39.632660	488
1053.147918	39.056331	489
1054.182642	39.735979	490
1055.238107	38.591723	491
1056.269826	39.502090	492
1057.321486	38.275835	493
1058.358351	39.147233	494
1059.410573	38.213975	495
1060.442102	39.077440	496
1061.500418	38.104273	497
1062.536333	39.222193	498
1063.590513	37.930659	499
1064.629849	39.034792	500
1065.676952	38.120101	501
1066.710167	39.310551	502
1067.760259	38.135725	503
1068.797743	39.120990	504
1069.851241	37.863672	505
1070.888553	39.028540	506
1071.941836	37.502457	507
1072.971594	38.927941	508
1074.029988	37.496469	509
1075.056930	38.625157	510
1076.116445	37.423446	511
1077.150362	38.435168	512
1078.204571	37.077052	513
1079.237419	38.220824	514
1080.293863	36.932224	515
1081.332068	38.165289	516
1082.379863	36.759732	517
1083.417114	38.149496	518
1084.467137	37.063474	519
1085.497066	38.022721	520
1086.556057	36.869208	521
1087.589667	38.056485	522
1088.643968	36.650865	523
1089.679877	37.710785	524
1090.727008	36.248485	525
1091.765404	37.748223	526
1092.821795	36.321484	527
1093.848372	37.436270	528
1094.907793	36.143061	529
1095.940763	37.494174	530
1096.999179	36.027866	531
1098.027722	37.125811	532
1099.088400	35.931317	533
1100.117382	36.917916	534
1101.174901	35.820406	535
1102.207929	36.962706	536
1103.260931	35.688422	537
1104.291278	36.893895	538
1105.349904	35.508560	539
1106.380865	36.468808	540
1107.437159	35.556047	541
1108.468923	36.552056	542
1109.533086	35.434694	543
1110.557764	36.779921	544
1111.614539	35.289724	545
1112.648043	36.507486	546
1113.699494	35.116182	547
1114.729420	36.466444	548
1115.790283	34.973941	549
1116.823543	36.577982	550
1117.877637	34.434669	551
1118.914527	36.342940	552
1119.959129	34.551962	553
1120.995894	36.246457	554
1122.054809	34.610324	555
1123.082696	36.173370	556
1124.138992	34.529642	557
1125.174037	36.064822	558
1126.231966	34.259874	559
1127.259060	35.629812	560
1128.318388	34.362428	561
1129.346439	35.458266	562
1130.411951	34.095377	563
1131.436539	35.568356	564
1132.495162	34.059252	565
1133.524273	35.369499	566
1134.579993	34.193648	567
1135.613341	35.205443	568
1136.669212	34.123356	569
1137.700504	35.528445	570
1138.754324	33.826225	571
1139.788240	35.354403	572
1140.849153	33.571789	573
1141.876638	34.987789	574
1142.932194	33.652062	575
1143.963674	34.850240	576
1145.023309	33.342673	577
1146.050212	34.921905	578
1147.110507	33.185040	579
1148.145301	34.617012	580
1149.197579	33.247405	581
1150.228157	34.511969	582
1151.286723	33.041148	583
1152.315313	34.928969	584
1153.374407	32.551750	585
1154.402407	34.646943	586
1155.460398	32.686975	587
1156.493472	34.468150	588
1157.548779	32.592432	589
1158.578968	34.453633	590
1159.638983	32.364948	591
1160.669315	34.237023	592
1161.723133	32.364174	593
1162.757836	34.107451	594
1163.812437	32.614192	595
1164.842566	34.071104	596
1165.901005	32.510069	597
1166.931926	33.904689	598
1167.987213	32.211497	599
1169.022410	33.662712	600
1170.076344	32.009226	601
1171.107705	33.746908	602
1172.166261	32.189553	603
1173.190210	33.367914	604
1174.253255	32.092306	605
1175.280355	33.216092	606
1176.340829	31.753992	607
1177.373411	33.318396	608
1178.429840	32.000850	609
1179.459990	32.785333	610
1180.516221	31.598413	611
1182.367213	37.340067	612
1183.423868	36.068932	613
1187.753170	44.922381	614
1188.811639	44.273850	615
1190.501837	47.347985	616
1191.556912	46.866034	617
1192.594541	46.907055	618
1193.647460	46.066706	619
1194.677433	46.723641	620
1195.738199	45.269234	621
1196.767726	45.610149	622
1197.827941	44.407927	623
1198.864003	45.364035	624
1199.913470	47.062799	625
1200.937998	46.650633	626
1202.002288	44.074351	627
1203.037592	44.568048	628
1204.089591	44.704860	629
1205.124853	45.257405	630
1206.183041	44.676463	631
1207.216519	45.483288	632
