time (s)	det(V)
5394.469812	0.718807	
5394.471289	0.682403	
5394.473080	0.639477	
5394.474564	0.623659	
5394.476324	0.580640	
5394.477817	0.553034	
5394.479570	0.521948	
5394.481080	0.499771	
5394.482806	0.456910	
5394.484332	0.437981	
5394.485867	0.421272	
5394.487481	0.398814	
5394.488971	0.376750	
5394.490593	0.355852	
5394.492112	0.343142	
5394.493756	0.318602	
5394.495235	0.300414	
5394.496885	0.285638	
5394.498357	0.272055	
5394.499997	0.245407	
5394.501477	0.236694	
5394.503178	0.221689	
5394.504666	0.206514	
5394.506358	0.187544	
5394.507870	0.193853	
5394.509553	0.172785	
5394.511062	0.161481	
5394.512723	0.151189	
5394.514259	0.144937	
5394.515956	0.126209	
5394.517512	0.120916	
5394.519211	0.114048	
5394.520772	0.106241	
5394.522431	0.094530	
5394.524021	0.091211	
5394.525696	0.086840	
5394.527287	0.077446	
5394.528927	0.072185	
5394.530517	0.066932	
5394.532159	0.061430	
5394.533805	0.052861	
5394.535403	0.052165	
5394.537083	0.044934	
5394.538671	0.040793	
5394.540331	0.033663	
5394.541909	0.039210	
5394.543586	0.031395	
5394.545151	0.030267	
5394.546856	0.026770	
5394.548394	0.024913	
5394.550094	0.011894	
5394.551623	0.015116	
5394.553343	0.012864	
5394.554830	0.009843	
5394.556578	0.002725	
5394.558065	0.013304	
5394.559831	0.003837	
5394.561320	0.001472	
5394.563088	0.003063	
5394.564561	0.006165	
5394.566328	-0.009787	
5394.567819	-0.004204	
5394.569540	-0.004671	
5394.571058	-0.005541	
5394.572771	-0.012035	
5394.574311	-0.001102	
5394.576015	-0.006645	
5394.577559	-0.009932	
5394.579237	-0.008026	
5394.580800	-0.008159	
5394.582467	-0.012977	
5394.584052	-0.013473	
5394.585538	-0.011728	
5394.587165	-0.013408	
5394.588679	-0.013900	
5394.590302	-0.016011	
5394.591779	-0.008623	
5394.593414	-0.014178	
5394.594893	-0.014121	
5394.596526	-0.013654	
5394.598004	-0.007261	
5394.599620	-0.021811	
5394.601124	-0.016091	
5394.602766	-0.015120	
5394.604303	-0.016635	
5394.605917	-0.018355	
5394.607495	-0.013787	
5394.609083	-0.014025	
5394.610678	-0.015185	
5394.612223	-0.014137	
5394.613838	-0.013497	
5394.615442	-0.015161	
5394.617089	-0.018520	
5394.618704	-0.016744	
5394.620371	-0.016635	
5394.621947	-0.017118	
5394.623629	-0.018077	
5394.625184	-0.010758	
5394.626882	-0.016003	
5394.628449	-0.013706	
5394.630116	-0.013517	
5394.631663	-0.012570	
5394.633367	-0.019326	
5394.634897	-0.015245	
5394.636648	-0.015503	
5394.638127	-0.017509	
5394.639896	-0.020462	
5394.641377	-0.007644	
5394.643132	-0.014516	
5394.644615	-0.014484	
5394.646362	-0.012127	
5394.647863	-0.008937	
5394.649628	-0.021304	
5394.651125	-0.014375	
5394.652874	-0.014210	
5394.654390	-0.014681	
5394.656107	-0.018947	
5394.657637	-0.009086	
5394.659346	-0.013142	
5394.660888	-0.014444	
5394.662582	-0.011757	
5394.664139	-0.010447	
5394.665830	-0.013296	
5394.667394	-0.013803	
5394.669045	-0.012373	
5394.670615	-0.013779	
5394.672247	-0.013626	
5394.673860	-0.012276	
5394.675472	-0.009118	
5394.677124	-0.011193	
5394.678704	-0.010367	
5394.680355	-0.010387	
5394.681830	-0.007857	
5394.683386	-0.016321	
5394.684885	-0.010850	
5394.686510	-0.011410	
5394.688004	-0.012200	
5394.689592	-0.016260	
5394.691120	-0.002439	
5394.692671	-0.009352	
5394.694222	-0.010004	
5394.695712	-0.008393	
5394.697355	-0.009026	
5394.698919	-0.010516	
5394.700532	-0.012389	
5394.702048	-0.009610	
5394.703722	-0.010516	
5394.705209	-0.011418	
5394.706890	-0.010935	
5394.708374	-0.005501	
5394.710089	-0.008965	
5394.711631	-0.008719	
5394.713351	-0.006661	
5394.714851	-0.004067	
5394.716606	-0.013670	
5394.718084	-0.008651	
5394.719837	-0.008409	
5394.721327	-0.007982	
5394.723109	-0.015298	
5394.724581	0.000163	
5394.726342	-0.007418	
5394.727827	-0.007096	
5394.729584	-0.006065	
5394.731092	-0.002705	
5394.732809	-0.012357	
5394.734338	-0.007954	
5394.736063	-0.007104	
5394.737596	-0.008309	
5394.739295	-0.009134	
5394.740834	-0.002842	
5394.742507	-0.005146	
5394.744066	-0.006254	
5394.745735	-0.004248	
5394.747318	-0.005553	
5394.748970	-0.007672	
5394.750584	-0.006971	
5394.752210	-0.005468	
5394.753822	-0.006959	
5394.755430	-0.006359	
5394.757074	-0.006814	
5394.758674	-0.002278	
5394.760313	-0.006165	
5394.761887	-0.003898	
5394.763586	-0.003293	
5394.765144	-0.002592	
5394.766849	-0.009187	
5394.768394	-0.004038	
5394.770081	-0.006766	
5394.771619	-0.006036	
5394.773334	-0.007845	
5394.774840	0.000993	
5394.776602	-0.004784	
5394.778077	-0.003104	
5394.779845	-0.003156	
5394.781332	0.000634	
5394.783097	-0.011737	
5394.784590	-0.003696	
5394.786168	-0.004739	
5394.787711	-0.006814	
5394.789251	-0.006862	
5394.790830	-0.000526	
5394.792318	-0.002802	
5394.793959	-0.004067	
5394.795455	-0.000437	
5394.797120	-0.000655	
5394.798594	-0.002733	
5394.800280	-0.006810	
5394.801759	-0.003112	
5394.803490	-0.003201	
5394.804978	-0.003761	
5394.806698	-0.005847	
5394.808179	0.003865	
5394.809880	-0.001875	
5394.811358	-0.002238	
5394.813123	-0.000481	
5394.814610	0.002133	
5394.816379	-0.008059	
5394.817858	-0.002919	
5394.819596	-0.002766	
5394.821111	-0.002806	
5394.822867	-0.008043	
5394.824384	0.005448	
5394.826089	-0.002189	
5394.827615	-0.001331	
5394.829305	0.000232	
5394.830852	-0.001158	
5394.832533	-0.003410	
5394.834102	-0.002169	
5394.835774	-0.000506	
5394.837346	-0.002379	
5394.839006	-0.002979	
5394.840586	-0.000610	
5394.842213	0.001480	
5394.843817	-0.001049	
5394.845435	0.000993	
5394.847084	-0.000075	
5394.848653	0.000095	
5394.850323	-0.003785	
5394.851897	-0.000026	
5394.853592	-0.002616	
5394.855163	-0.001907	
5394.856829	-0.001255	
5394.858379	0.004490	
5394.860095	-0.001062	
5394.861642	0.001166	
5394.863363	0.001569	
5394.864882	0.002270	
5394.866607	-0.004747	
5394.868086	0.000175	
5394.869850	-0.000030	
5394.871338	-0.001529	
5394.873085	-0.006576	
5394.874574	0.009424	
5394.876361	0.000667	
5394.877837	0.000473	
5394.879598	0.001754	
