time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
5908.466584	90.916626	1.429146	0.026639	197
5910.554897	90.857826	1.435325	0.025622	199
5912.642502	90.299019	1.438131	0.024733	201
5914.731544	90.063332	1.430082	0.026466	203
5916.825126	90.303490	1.421395	0.026595	205
5918.920003	90.706299	1.416464	0.025712	207
5921.012627	90.867844	1.413785	0.024521	209
5923.101175	90.822395	1.418276	0.023286	211
5925.189610	90.549911	1.422554	0.022993	213
5927.278390	90.270424	1.422041	0.023295	215
5929.368010	90.302689	1.419386	0.023803	217
5931.459049	90.417992	1.413614	0.023364	219
5933.550077	90.489937	1.411081	0.023020	221
5935.641396	90.617012	1.410011	0.022530	223
5937.731995	90.671082	1.406731	0.021996	225
5939.822545	90.735947	1.404882	0.021494	227
5941.913105	90.776230	1.401610	0.021105	229
5944.004833	90.765160	1.399490	0.020160	231
5946.097977	90.601723	1.396869	0.019798	233
5948.191760	90.335548	1.393487	0.019317	235
5950.285187	89.926735	1.390777	0.019484	237
5952.375785	89.865356	1.392225	0.020160	239
5954.464046	90.420502	1.394821	0.019747	241
5956.551472	90.989616	1.390364	0.018667	243
5958.640545	91.011848	1.386835	0.017264	245
5960.732857	90.786743	1.384893	0.016511	247
5962.826844	90.513504	1.382690	0.016319	249
5964.920236	90.262955	1.379809	0.016323	251
5967.012582	90.104355	1.377432	0.016266	253
5969.103501	90.109924	1.376310	0.016160	255
5971.194204	90.180000	1.375650	0.015897	1
5973.284281	90.298279	1.375553	0.015235	3
5975.375314	90.383064	1.372318	0.014547	5
5977.466452	90.382133	1.370677	0.014187	7
5979.557762	90.440292	1.367965	0.013613	9
5981.649308	90.536545	1.367461	0.013157	11
5983.740058	90.611847	1.367251	0.012636	13
5985.830494	90.729401	1.367724	0.011836	15
5987.918619	90.637505	1.369886	0.011263	17
5990.007299	90.340515	1.373638	0.010828	19
5992.095878	90.038605	1.367859	0.010784	21
5994.186788	89.937943	1.362168	0.011189	23
5996.279935	90.205254	1.356056	0.011236	25
5998.374041	90.408905	1.352904	0.010667	27
6000.467065	90.557037	1.349713	0.009669	29
6002.558166	90.587662	1.348774	0.009099	31
6004.648074	90.574905	1.348392	0.008592	33
6006.737242	90.474693	1.352223	0.008273	35
6008.826303	90.367279	1.354052	0.007983	37
6010.916298	90.302254	1.351302	0.007964	39
6013.006346	90.188766	1.348013	0.007323	41
6015.096802	90.225220	1.345484	0.007370	43
6017.187934	90.256813	1.343444	0.006769	45
6019.279112	90.271942	1.341111	0.006579	47
6021.371519	90.231087	1.337818	0.005987	49
6023.463817	90.166061	1.333846	0.005665	51
6025.556728	89.952293	1.328937	0.005272	53
6027.648542	89.713356	1.328159	0.005245	55
6029.738965	89.727051	1.329551	0.004896	57
6031.827957	90.017601	1.330431	0.005275	59
6033.915608	90.402023	1.328372	0.004765	61
6036.004006	90.489494	1.324366	0.003461	63
6038.093753	90.473000	1.322262	0.002877	65
6040.185610	90.337624	1.320785	0.002358	67
6042.278239	90.219955	1.319358	0.001998	69
6044.371350	90.194145	1.316869	0.002004	71
6046.463529	90.075768	1.312583	0.001764	73
6048.555765	90.067154	1.310865	0.001449	75
6050.647320	90.010086	1.306757	0.001193	77
6052.738251	90.010765	1.304207	0.000715	79
6054.829302	90.090965	1.302950	0.000472	81
6056.919600	90.113457	1.300900	0.000411	83
6059.009763	90.191689	1.300561	-0.000123	85
6061.099643	90.227699	1.302570	-0.000514	87
6063.188935	90.172867	1.303729	-0.000899	89
6065.278113	89.970680	1.303179	-0.001446	91
6067.366923	89.694458	1.304398	-0.001857	93
6069.456554	89.518295	1.299727	-0.001844	95
6071.547183	89.472061	1.295560	-0.001728	97
6073.639519	89.630463	1.292130	-0.002258	99
6075.733010	89.794762	1.289789	-0.003069	101
6077.826367	89.946465	1.287504	-0.003536	103
6079.918871	89.979103	1.284281	-0.003707	105
6082.010137	90.040833	1.282624	-0.004038	107
6084.100763	89.992050	1.281390	-0.004491	109
6086.191060	89.982079	1.281799	-0.004845	111
6088.281029	89.952400	1.280166	-0.004946	113
6090.371103	89.902039	1.277746	-0.005154	115
6092.461800	89.837860	1.276229	-0.005484	117
6094.553140	89.800034	1.274745	-0.005782	119
6096.644245	89.770302	1.271301	-0.006174	121
6098.735658	89.643272	1.268400	-0.006277	123
6100.827271	89.478554	1.267431	-0.006510	125
6102.918422	89.348732	1.267955	-0.006803	127
6105.008602	89.301407	1.269226	-0.007297	129
6107.098024	89.406403	1.270439	-0.007490	131
6109.187056	89.616203	1.268785	-0.008110	133
6111.275325	89.812469	1.265238	-0.008578	135
6113.364060	89.825020	1.263114	-0.008692	137
