time (s)	magX	magY	magZ
11218.054408	-9.563997	332.587952	-210.471069
11218.057740	-9.914670	336.328461	-217.601410
11218.061126	-9.739334	340.010498	-225.082413
11218.064405	-9.973115	344.686127	-232.271194
11218.067742	-9.797779	348.777313	-240.628876
11218.071073	-9.622443	352.634735	-249.395676
11218.074405	-9.739334	356.550568	-257.928711
11218.077738	-9.680889	361.109283	-265.935699
11218.081074	-9.505552	365.142029	-274.877869
11218.084408	-9.330215	369.174744	-284.170654
11218.087781	-9.388661	373.558136	-308.133270
11218.091945	-9.037990	380.805389	-312.341309
11218.095296	-9.037990	384.019867	-322.978394
11218.098664	-8.979544	387.701935	-333.907654
11218.101991	-9.213326	389.572174	-344.544739
11218.104955	-8.921099	393.312683	-355.473999
11218.108168	-8.687317	395.708954	-367.747498
11218.111487	-8.395090	397.462311	-378.618347
11218.114822	-8.921099	400.501434	-391.710083
11218.117740	-8.804209	402.839264	-403.925171
11218.121072	-7.927528	404.826447	-416.958496
11218.124405	-8.102863	405.878418	-429.407349
11218.127734	-7.693747	407.281097	-443.025146
11218.131068	-7.343074	407.982483	-457.694946
11218.134402	-7.927528	409.092926	-470.436035
11218.137752	-6.992402	409.092926	-484.462891
11218.141063	-6.583284	409.092926	-499.366455
11218.144400	-6.466393	407.865570	-513.334900
11218.147728	-6.115722	407.164215	-528.355347
11218.151067	-5.531268	405.352448	-544.544739
11218.154395	-5.823495	404.358856	-558.220947
11218.157731	-5.122151	401.787262	-574.468689
11218.161139	-4.011689	398.455872	-590.307373
11218.164406	-4.128580	395.299835	-606.555237
11218.167732	-3.427236	391.384003	-623.036804
11218.171059	-2.901227	386.533020	-639.109253
11218.174389	-2.667446	382.091156	-655.298645
11218.177730	-1.907656	374.785492	-672.072449
11218.181096	-1.615430	369.291656	-687.969604
11218.184394	-0.738749	361.518402	-704.860291
11218.188581	-0.738749	345.095245	-737.531250
11218.191932	0.079486	336.620697	-753.545288
11218.195285	0.079486	326.860321	-770.026855
11218.198696	0.488603	316.223236	-784.813538
11218.201502	1.014611	305.469299	-800.885986
11218.204836	1.482174	293.488007	-816.315613
11218.208151	1.949737	281.623596	-830.985352
11218.211478	2.592636	268.298065	-846.882507
11218.214400	1.715955	255.089417	-860.909424
11218.217724	3.352426	241.179428	-875.403809
11218.221061	3.469316	227.094086	-889.489136
11218.224411	4.112215	211.781418	-902.697815
11218.227728	4.345996	196.059616	-916.315613
11218.231060	4.345996	179.811813	-928.413818
11218.234386	4.813560	162.804199	-939.226196
11218.237724	5.105787	145.504379	-951.265869
11218.241059	6.157802	127.795448	-961.084717
11218.244386	6.274693	109.502045	-970.962036
11218.247717	6.450029	91.500877	-979.261230
11218.251055	6.566920	73.207481	-986.976013
11218.254388	7.209819	54.329632	-993.638733
11218.257727	7.969609	35.568672	-999.541809
11218.261090	7.969609	16.807714	-1005.795410
11218.264389	7.794273	-3.355932	-1009.886597
11218.267722	8.261835	-21.473991	-1012.867310
11218.271053	8.554062	-40.118061	-1013.334900
11218.274389	9.196960	-60.106369	-1014.679077
11218.277718	9.255407	-78.633545	-1014.679077
11218.281056	9.606079	-96.693153	-1013.159546
11218.285687	9.664524	-133.279968	-1009.477478
11218.288588	9.547634	-150.287552	-1005.561707
11218.291923	9.956751	-167.821167	-1000.243164
11218.295361	10.307423	-184.770309	-994.749207
11218.298639	10.248978	-200.959671	-986.099304
11218.301480	9.722969	-217.382828	-978.735229
11218.304843	9.898306	-231.175919	-970.903564
11218.308142	9.839859	-245.495026	-959.740479
11218.311480	9.664524	-260.340149	-949.454102
11218.314383	9.430742	-273.899475	-936.946838
11218.317721	9.489187	-286.757477	-924.381042
11218.321046	9.255407	-299.264771	-911.289246
11218.324375	8.846289	-310.778503	-897.613098
11218.327713	8.904734	-322.350677	-882.826355
11218.331049	8.612507	-332.753937	-868.741089
11218.334381	8.320280	-341.579193	-852.610168
11218.337710	7.969609	-350.872009	-837.355896
11218.341045	7.969609	-359.521942	-820.991211
11218.344386	8.320280	-367.353607	-803.866699
11218.347733	8.086498	-374.659271	-786.040894
11218.351073	8.144945	-381.263580	-769.383972
11218.354376	7.677382	-387.166565	-752.376343
11218.357710	7.502046	-391.433075	-735.135010
11218.361041	7.092928	-396.985382	-716.490967
11218.364378	6.976038	-401.310364	-699.541748
11218.367711	6.566920	-403.355957	-680.897705
11218.371045	6.274693	-408.089996	-662.545898
11218.374372	5.748685	-409.784912	-644.720032
11218.377712	5.631794	-411.421417	-627.712463
11218.381046	5.807130	-412.882538	-609.360596
11218.384375	4.930450	-414.168335	-591.359436
11218.387711	4.521332	-415.337250	-574.059570
11218.391933	3.995324	-415.278778	-539.693787
11218.395299	4.053770	-413.642334	-522.686157
11218.398634	4.170660	-412.239624	-506.905884
11218.401962	3.527761	-412.356537	-490.248962
11218.404799	3.352426	-410.603149	-474.351868
11218.408129	3.469316	-408.206909	-459.506714
11218.411464	2.884863	-407.505585	-444.194031
11218.414823	2.767972	-403.297485	-428.998230
11218.417706	2.534191	-400.901245	-415.438965
11218.421044	2.183518	-398.738739	-400.593811
11218.424373	2.592636	-395.641144	-386.800720
11218.427704	2.183518	-391.549988	-374.001160
11218.431041	2.008183	-389.212158	-361.318542
11218.434377	1.715955	-384.887207	-348.577454
11218.437700	0.839275	-382.081848	-335.544128
11218.441034	0.722385	-377.990631	-324.147278
11218.444366	1.131502	-373.957916	-312.633545
11218.447702	0.897721	-370.918762	-300.593811
11218.451037	1.423729	-367.236694	-290.716553
11218.454384	0.605494	-362.970215	-280.780823
11218.457696	0.313267	-358.878998	-271.137360
11218.461034	0.488603	-352.683838	-260.558746
11218.464394	0.430158	-349.527771	-251.207474
11218.467702	-0.212741	-346.137939	-242.148453
11218.471031	-0.154296	-341.696075	-233.790771
11218.474371	-0.563413	-337.195801	-224.907074
11218.477696	0.021040	-333.221497	-216.958511
11218.481037	-0.504968	-329.480988	-209.068375
